,date,trials
214,2020-12-01,149.0
215,2020-12-02,152.0
216,2020-12-03,125.0
217,2020-12-04,102.0
218,2020-12-05,112.0
219,2020-12-06,163.0
220,2020-12-07,173.0
221,2020-12-08,181.0
222,2020-12-09,150.0
223,2020-12-10,152.0
224,2020-12-11,156.0
225,2020-12-12,158.0
226,2020-12-13,169.0
227,2020-12-14,188.0
228,2020-12-15,219.0
229,2020-12-16,215.0
230,2020-12-17,187.0
231,2020-12-18,169.0
232,2020-12-19,187.0
233,2020-12-20,251.0
234,2020-12-21,213.0
235,2020-12-22,224.0
236,2020-12-23,258.0
237,2020-12-24,196.0
238,2020-12-25,222.0
239,2020-12-26,312.0
240,2020-12-27,359.0
241,2020-12-28,293.0
242,2020-12-29,257.0
243,2020-12-30,254.0
244,2020-12-31,161.0
245,2021-01-01,224.0
246,2021-01-02,275.0
247,2021-01-03,284.0
248,2021-01-04,305.0
249,2021-01-05,305.0
250,2021-01-06,262.0
251,2021-01-07,270.0
252,2021-01-08,231.0
253,2021-01-09,205.0
254,2021-01-10,246.0
255,2021-01-11,280.0
256,2021-01-12,266.0
257,2021-01-13,289.0
258,2021-01-14,255.0
259,2021-01-15,190.0
260,2021-01-16,159.0
261,2021-01-17,232.0
262,2021-01-18,287.0
263,2021-01-19,329.0
264,2021-01-20,378.0
265,2021-01-21,353.0
266,2021-01-22,240.0
267,2021-01-23,277.0
268,2021-01-24,344.0
269,2021-01-25,291.0
270,2021-01-26,306.0
271,2021-01-27,339.0
272,2021-01-28,331.0
273,2021-01-29,292.0
274,2021-01-30,312.0
275,2021-01-31,389.0
276,2021-02-01,409.0
277,2021-02-02,402.0
278,2021-02-03,402.0
279,2021-02-04,371.0
280,2021-02-05,315.0
281,2021-02-06,293.0
282,2021-02-07,361.0
283,2021-02-08,413.0
284,2021-02-09,479.0
285,2021-02-10,465.0
286,2021-02-11,465.0
287,2021-02-12,417.0
288,2021-02-13,529.0
289,2021-02-14,573.0
290,2021-02-15,676.0
291,2021-02-16,815.0
292,2021-02-17,412.0
293,2021-02-18,353.0
294,2021-02-19,300.0
295,2021-02-20,374.0
296,2021-02-21,426.0
297,2021-02-22,363.0
298,2021-02-23,308.0
299,2021-02-24,254.0
300,2021-02-25,333.0
301,2021-02-26,372.0
302,2021-02-27,429.0
303,2021-02-28,562.0
304,2021-03-01,761.0
305,2021-03-02,734.0
306,2021-03-03,773.0
307,2021-03-04,820.0
308,2021-03-05,607.0
309,2021-03-06,587.0
310,2021-03-07,861.0
311,2021-03-08,777.0
312,2021-03-09,740.0
313,2021-03-10,721.0
314,2021-03-11,678.0
315,2021-03-12,567.0
316,2021-03-13,581.0
317,2021-03-14,796.0
318,2021-03-15,796.0
319,2021-03-16,700.0
320,2021-03-17,647.0
321,2021-03-18,628.0
322,2021-03-19,455.0
323,2021-03-20,541.0
324,2021-03-21,718.0
325,2021-03-22,640.0
326,2021-03-23,618.0
327,2021-03-24,573.0
328,2021-03-25,542.0
329,2021-03-26,480.0
330,2021-03-27,467.0
331,2021-03-28,609.0
332,2021-03-29,645.0
333,2021-03-30,498.0
334,2021-03-31,428.0
335,2021-04-01,412.0
336,2021-04-02,349.0
337,2021-04-03,364.0
338,2021-04-04,443.0
339,2021-04-05,516.0
340,2021-04-06,441.0
341,2021-04-07,495.0
342,2021-04-08,586.0
343,2021-04-09,453.0
344,2021-04-10,478.0
345,2021-04-11,614.0
346,2021-04-12,668.0
347,2021-04-13,608.0
348,2021-04-14,589.0
349,2021-04-15,544.0
350,2021-04-16,464.0
351,2021-04-17,444.0
352,2021-04-18,634.0
353,2021-04-19,565.0
354,2021-04-20,601.0
355,2021-04-21,692.0
356,2021-04-22,627.0
357,2021-04-23,475.0
358,2021-04-24,459.0
359,2021-04-25,567.0
360,2021-04-26,706.0
361,2021-04-27,684.0
362,2021-04-28,585.0
363,2021-04-29,595.0
364,2021-04-30,492.0
365,2021-05-01,519.0
366,2021-05-02,672.0
367,2021-05-03,813.0
368,2021-05-04,836.0
369,2021-05-05,749.0
370,2021-05-06,651.0
371,2021-05-07,528.0
372,2021-05-08,562.0
373,2021-05-09,792.0
374,2021-05-10,1046.0
375,2021-05-11,907.0
376,2021-05-12,829.0
377,2021-05-13,737.0
378,2021-05-14,663.0
379,2021-05-15,739.0
380,2021-05-16,927.0
381,2021-05-17,820.0
382,2021-05-18,771.0
383,2021-05-19,772.0
384,2021-05-20,632.0
385,2021-05-21,435.0
386,2021-05-22,563.0
387,2021-05-23,774.0
388,2021-05-24,674.0
389,2021-05-25,605.0
390,2021-05-26,638.0
391,2021-05-27,591.0
392,2021-05-28,533.0
393,2021-05-29,498.0
394,2021-05-30,652.0
395,2021-05-31,703.0
396,2021-06-01,614.0
397,2021-06-02,622.0
398,2021-06-03,573.0
399,2021-06-04,422.0
